Fecha,Comprador,Vendedor
7/10/2019,56.067,60.191
4/10/2019,55.964,60.093
3/10/2019,56.097,60.226
2/10/2019,56.107,60.221
1/10/2019,55.883,60.095
30/9/2019,55.657,59.818
27/9/2019,55.395,59.556
26/9/2019,55.348,59.511
25/9/2019,55.136,59.339
24/9/2019,55.126,59.338
23/9/2019,55.076,59.321
20/9/2019,54.868,59.081
19/9/2019,54.989,59.071
18/9/2019,54.926,59.147
17/9/2019,54.918,59.065
16/9/2019,54.489,58.774
13/9/2019,54.211,58.443
12/9/2019,54.254,58.407
11/9/2019,53.98,58.236
10/9/2019,53.885,58.13
9/9/2019,53.878,58.153
6/9/2019,53.797,58.023
5/9/2019,53.871,58.207
4/9/2019,53.577,58.061
3/9/2019,53.458,58.486
2/9/2019,53.319,58.411
30/8/2019,57.561,62.035
29/8/2019,56.157,60.304
28/8/2019,56.275,60.171
27/8/2019,54.696,58.66
26/8/2019,53.033,57.206
23/8/2019,53.091,57.307
22/8/2019,52.809,57.237
21/8/2019,52.646,57.266
20/8/2019,52.355,57.378
16/8/2019,53.104,58.123
15/8/2019,54.651,59.717
14/8/2019,56.833,62.176
13/8/2019,53.263,58.328
12/8/2019,51.23,57.297
9/8/2019,44.239,46.547
8/8/2019,44.214,46.468
7/8/2019,44.533,46.803
6/8/2019,44.218,46.482
5/8/2019,44.427,46.685
2/8/2019,43.628,45.886
1/8/2019,43.304,45.549
31/7/2019,42.754,45.016
30/7/2019,42.791,45.059
29/7/2019,42.679,44.931
26/7/2019,42.255,44.515
25/7/2019,42.322,44.56
24/7/2019,41.807,44.056
23/7/2019,41.618,43.87
22/7/2019,41.356,43.608
19/7/2019,41.364,43.616
18/7/2019,41.36,43.612
17/7/2019,41.454,43.706
16/7/2019,41.546,43.779
15/7/2019,41.158,43.405
12/7/2019,40.597,42.849
11/7/2019,40.654,42.906
10/7/2019,40.839,43.091
5/7/2019,40.871,43.104
4/7/2019,40.654,42.887
3/7/2019,40.993,43.246
2/7/2019,41.185,43.452
1/7/2019,41.228,43.48
28/6/2019,41.441,43.703
27/6/2019,41.681,43.936
26/6/2019,41.695,43.949
25/6/2019,41.291,43.482
24/6/2019,41.432,43.668
21/6/2019,41.818,44.075
19/6/2019,42.243,44.499
18/6/2019,42.47,44.711
14/6/2019,42.913,45.169
13/6/2019,42.363,44.619
12/6/2019,42.666,44.879
11/6/2019,43.682,45.938
10/6/2019,43.901,46.138
